index,n,epsilon,d,m,k,t,t_multiplier,repeat,time_mu_s,model_error
0,1000,0.50,500,2,17,0.2500,0.5,0,286.00,0.666166
1,1000,0.50,500,2,17,0.2500,0.5,1,258.00,0.550013
2,1000,0.50,500,2,17,0.2500,0.5,2,267.00,1.283816
3,1000,0.50,500,2,17,0.2500,0.5,3,286.00,0.793304
4,1000,0.50,500,2,17,0.2500,0.5,4,267.00,1.458768
5,1000,0.50,500,2,17,0.2500,0.5,5,271.00,0.553473
6,1000,0.50,500,2,17,0.2500,0.5,6,287.00,1.120003
7,1000,0.50,500,2,17,0.2500,0.5,7,288.00,0.834732
8,1000,0.50,500,2,17,0.2500,0.5,8,278.00,0.374635
9,1000,0.50,500,2,17,0.2500,0.5,9,268.00,0.499212
10,1000,0.50,500,2,17,0.2500,0.5,10,266.00,1.585392
11,1000,0.50,500,2,17,0.2500,0.5,11,274.00,2.610247
12,1000,0.50,500,2,17,0.2500,0.5,12,291.00,0.662873
13,1000,0.50,500,2,17,0.2500,0.5,13,278.00,1.244245
14,1000,0.50,500,2,17,0.2500,0.5,14,263.00,0.464208
15,1000,0.50,500,2,17,0.2500,0.5,15,273.00,0.477763
16,1000,0.50,500,2,17,0.2500,0.5,16,300.00,0.409640
17,1000,0.50,500,2,17,0.2500,0.5,17,283.00,0.627240
18,1000,0.50,500,2,17,0.2500,0.5,18,294.00,0.292091
19,1000,0.50,500,2,17,0.2500,0.5,19,283.00,0.091251
20,1000,0.50,500,2,17,0.2500,0.5,20,284.00,0.827422
21,1000,0.50,500,2,17,0.2500,0.5,21,285.00,0.245740
22,1000,0.50,500,2,17,0.2500,0.5,22,289.00,0.361497
23,1000,0.50,500,2,17,0.2500,0.5,23,274.00,0.824068
24,1000,0.50,500,2,17,0.2500,0.5,24,280.00,0.568423
25,1000,0.50,500,2,17,0.2500,0.5,25,284.00,0.559269
26,1000,0.50,500,2,17,0.2500,0.5,26,268.00,0.640159
27,1000,0.50,500,2,17,0.2500,0.5,27,274.00,1.080376
28,1000,0.50,500,2,17,0.2500,0.5,28,288.00,0.396022
29,1000,0.50,500,2,17,0.2500,0.5,29,277.00,0.371685
30,1000,0.50,500,2,17,0.2500,0.5,30,271.00,1.405640
31,1000,0.50,500,2,17,0.2500,0.5,31,321.00,0.273676
32,1000,0.50,500,2,17,0.2500,0.5,32,268.00,1.385871
33,1000,0.50,500,2,17,0.2500,0.5,33,280.00,0.297745
34,1000,0.50,500,2,17,0.2500,0.5,34,289.00,0.237332
35,1000,0.50,500,2,17,0.2500,0.5,35,279.00,0.531521
