index,n,epsilon,d,m,k,t,repeat,time_mu_s,model_error
0,1000,0.50,500,2,10,0.9743,0,195.00,0.431924
1,1000,0.50,500,2,10,0.9546,1,216.00,0.525418
2,1000,0.50,500,2,10,0.9832,2,225.00,0.969869
3,1000,0.50,500,2,10,1.0105,3,226.00,1.768957
4,1000,0.50,500,2,10,1.0770,4,221.00,0.163278
5,1000,0.50,500,2,10,1.0281,5,224.00,0.657137
6,1000,0.50,500,2,10,0.9919,6,227.00,0.187787
7,1000,0.50,500,2,10,1.0305,7,234.00,2.978263
8,1000,0.50,500,2,10,0.9623,8,217.00,2.299126
9,1000,0.50,500,2,10,1.0229,9,220.00,2.566628
10,1000,0.50,500,2,10,1.0038,10,233.00,1.289669
11,1000,0.50,500,2,10,0.9780,11,202.00,0.879665
12,1000,0.50,500,2,10,1.0154,12,209.00,0.664886
13,1000,0.50,500,2,10,1.0109,13,227.00,0.297031
14,1000,0.50,500,2,10,0.9680,14,251.00,6.947802
15,1000,0.50,500,2,10,1.0119,15,249.00,1.697760
16,1000,0.50,500,2,10,1.0871,16,223.00,1.996384
17,1000,0.50,500,2,10,0.9989,17,229.00,0.223559
18,1000,0.50,500,2,10,0.9802,18,223.00,4.799637
19,1000,0.50,500,2,10,0.9692,19,215.00,1.276774
20,1000,0.50,500,2,10,0.9362,20,203.00,0.117494
21,1000,0.50,500,2,10,0.9972,21,215.00,0.337789
22,1000,0.50,500,2,10,0.9667,22,205.00,0.131685
23,1000,0.50,500,2,10,1.0225,23,207.00,1.520542
24,1000,0.50,500,2,10,1.0598,24,211.00,0.914158
25,1000,0.50,500,2,10,1.0006,25,208.00,2.374116
26,1000,0.50,500,2,10,0.9799,26,247.00,1.417089
27,1000,0.50,500,2,10,1.0170,27,202.00,0.107474
28,1000,0.50,500,2,10,0.9730,28,230.00,0.817924
29,1000,0.50,500,2,10,0.9953,29,228.00,0.777978
30,1000,0.50,500,2,10,0.9763,30,220.00,0.049955
31,1000,0.50,500,2,10,0.9303,31,206.00,0.100743
32,1000,0.50,500,2,10,1.0583,32,214.00,0.230440
33,1000,0.50,500,2,10,0.9801,33,204.00,0.271159
34,1000,0.50,500,2,10,0.9819,34,233.00,3.604393
35,1000,0.50,500,2,10,0.9626,35,197.00,0.671868
36,1000,0.50,500,2,10,0.9797,36,239.00,0.857608
37,1000,0.50,500,2,10,1.0355,37,213.00,0.360298
38,1000,0.50,500,2,10,1.0482,38,212.00,3.385064
39,1000,0.50,500,2,10,0.9757,39,219.00,4.709578
40,1000,0.50,500,2,10,1.0053,40,232.00,2.154094
41,1000,0.50,500,2,10,1.0217,41,229.00,0.468591
42,1000,0.50,500,2,10,0.9589,42,213.00,0.141406
43,1000,0.50,500,2,10,1.0216,43,221.00,1.310061
44,1000,0.50,500,2,10,0.9940,44,247.00,0.975810
45,1000,0.50,500,2,10,0.9637,45,211.00,0.156230
46,1000,0.50,500,2,10,0.9981,46,201.00,0.390852
47,1000,0.50,500,2,10,1.0020,47,194.00,0.175697
48,1000,0.50,500,2,10,1.0394,48,217.00,0.631753
49,1000,0.50,500,2,10,0.9651,49,217.00,0.519266
50,1000,0.50,500,2,10,0.9635,50,225.00,1.772252
51,1000,0.50,500,2,10,0.9961,51,199.00,0.458951
52,1000,0.50,500,2,10,1.0445,52,201.00,0.022813
53,1000,0.50,500,2,10,0.9420,53,260.00,1.050619
54,1000,0.50,500,2,10,0.9899,54,242.00,0.443152
55,1000,0.50,500,2,10,1.0398,55,206.00,0.136781
56,1000,0.50,500,2,10,1.0157,56,216.00,1.028196
57,1000,0.50,500,2,10,0.9684,57,223.00,0.786788
58,1000,0.50,500,2,10,0.9773,58,230.00,1.281204
59,1000,0.50,500,2,10,1.0327,59,235.00,0.211861
60,1000,0.50,500,2,10,0.9731,60,203.00,0.206103
61,1000,0.50,500,2,10,0.9971,61,208.00,0.654515
62,1000,0.50,500,2,10,1.0232,62,223.00,5.608220
63,1000,0.50,500,2,10,0.9574,63,211.00,0.521118
64,1000,0.50,500,2,10,0.9937,64,210.00,0.091436
65,1000,0.50,500,2,10,0.9345,65,228.00,5.464608
66,1000,0.50,500,2,10,0.9934,66,236.00,0.212676
67,1000,0.50,500,2,10,0.9845,67,153.00,0.109713
68,1000,0.50,500,2,10,1.0358,68,227.00,4.373349
69,1000,0.50,500,2,10,0.9989,69,220.00,0.166313
70,1000,0.50,500,2,10,1.0071,70,239.00,0.744001
71,1000,0.50,500,2,10,1.0284,71,228.00,0.536192
72,1000,0.50,500,2,10,1.0025,72,180.00,0.345225
73,1000,0.50,500,2,10,1.0464,73,205.00,0.563777
74,1000,0.50,500,2,10,1.0129,74,226.00,0.410119
75,1000,0.50,500,2,10,1.0022,75,230.00,1.811388
76,1000,0.50,500,2,10,1.0030,76,203.00,0.466156
77,1000,0.50,500,2,10,1.0445,77,212.00,0.406574
78,1000,0.50,500,2,10,0.9916,78,242.00,1.930836
79,1000,0.50,500,2,10,0.9609,79,229.00,1.711014
80,1000,0.50,500,2,10,1.0046,80,224.00,0.109381
81,1000,0.50,500,2,10,1.0033,81,221.00,0.060170
82,1000,0.50,500,2,10,0.9712,82,206.00,0.132584
83,1000,0.50,500,2,10,1.0048,83,207.00,0.229796
84,1000,0.50,500,2,10,0.9574,84,225.00,0.477993
85,1000,0.50,500,2,10,1.0005,85,191.00,0.345918
86,1000,0.50,500,2,10,0.9347,86,198.00,0.709096
87,1000,0.50,500,2,10,0.9487,87,247.00,1.641703
88,1000,0.50,500,2,10,0.9690,88,204.00,6.629429
89,1000,0.50,500,2,10,1.0225,89,222.00,0.811857
90,1000,0.50,500,2,10,0.9719,90,228.00,7.635292
91,1000,0.50,500,2,10,0.9850,91,215.00,4.504127
92,1000,0.50,500,2,10,0.9795,92,233.00,1.392568
93,1000,0.50,500,2,10,0.9939,93,234.00,1.721686
94,1000,0.50,500,2,10,0.9815,94,218.00,0.267444
95,1000,0.50,500,2,10,0.9829,95,220.00,0.145001
96,1000,0.50,500,2,10,0.9519,96,214.00,0.018028
97,1000,0.50,500,2,10,0.9932,97,243.00,0.164669
