index,n,epsilon,d,m,k,t,repeat,time_mu_s,model_error
0,1000,0.05,950,2,17,1.0261,0,389.00,0.106791
1,1000,0.05,950,2,17,1.0101,1,396.00,0.345755
2,1000,0.05,950,2,17,0.9935,2,394.00,0.261710
3,1000,0.05,950,2,17,0.9824,3,374.00,0.092276
4,1000,0.05,950,2,17,1.0081,4,392.00,0.029135
5,1000,0.05,950,2,17,0.9839,5,369.00,0.077156
6,1000,0.05,950,2,17,0.9406,6,373.00,0.071683
7,1000,0.05,950,2,17,0.9885,7,374.00,0.040073
8,1000,0.05,950,2,17,1.0227,8,353.00,0.051530
9,1000,0.05,950,2,17,0.9786,9,400.00,0.019188
10,1000,0.05,950,2,17,1.0105,10,404.00,0.191007
11,1000,0.05,950,2,17,0.9880,11,406.00,0.114340
12,1000,0.05,950,2,17,1.0377,12,368.00,0.048110
13,1000,0.05,950,2,17,0.9767,13,324.00,0.064107
14,1000,0.05,950,2,17,1.0083,14,380.00,0.123115
15,1000,0.05,950,2,17,1.0161,15,385.00,0.065023
16,1000,0.05,950,2,17,0.9846,16,369.00,0.036468
17,1000,0.05,950,2,17,0.9937,17,390.00,0.140905
18,1000,0.05,950,2,17,1.0051,18,383.00,0.113226
19,1000,0.05,950,2,17,1.0573,19,387.00,0.088616
20,1000,0.05,950,2,17,0.9998,20,353.00,0.011351
21,1000,0.05,950,2,17,1.0205,21,392.00,0.129417
22,1000,0.05,950,2,17,0.9823,22,356.00,0.021356
23,1000,0.05,950,2,17,0.9913,23,377.00,0.116969
24,1000,0.05,950,2,17,0.9993,24,374.00,0.091562
25,1000,0.05,950,2,17,0.9757,25,343.00,0.125554
26,1000,0.05,950,2,17,1.0019,26,370.00,0.118525
27,1000,0.05,950,2,17,0.9689,27,392.00,0.213527
28,1000,0.05,950,2,17,0.9998,28,406.00,0.061355
29,1000,0.05,950,2,17,1.0260,29,404.00,0.027029
30,1000,0.05,950,2,17,1.0228,30,384.00,0.091095
31,1000,0.05,950,2,17,0.9869,31,387.00,0.047300
32,1000,0.05,950,2,17,0.9723,32,378.00,0.032015
33,1000,0.05,950,2,17,0.9949,33,383.00,0.072203
34,1000,0.05,950,2,17,1.0160,34,392.00,0.037384
35,1000,0.05,950,2,17,1.0147,35,368.00,0.151442
36,1000,0.05,950,2,17,0.9574,36,369.00,0.035322
37,1000,0.05,950,2,17,0.9879,37,346.00,0.094944
38,1000,0.05,950,2,17,0.9896,38,372.00,0.129993
39,1000,0.05,950,2,17,0.9940,39,386.00,0.082374
40,1000,0.05,950,2,17,0.9903,40,346.00,0.029899
41,1000,0.05,950,2,17,0.9846,41,382.00,0.189398
42,1000,0.05,950,2,17,1.0243,42,399.00,0.065301
43,1000,0.05,950,2,17,1.0195,43,354.00,0.041529
44,1000,0.05,950,2,17,0.9946,44,380.00,0.037227
45,1000,0.05,950,2,17,1.0041,45,380.00,0.046219
46,1000,0.05,950,2,17,1.0163,46,343.00,0.199307
47,1000,0.05,950,2,17,0.9848,47,349.00,0.093390
48,1000,0.05,950,2,17,0.9773,48,366.00,0.227139
49,1000,0.05,950,2,17,1.0074,49,343.00,0.148429
50,1000,0.05,950,2,17,0.9625,50,361.00,0.066215
51,1000,0.05,950,2,17,0.9810,51,407.00,0.031189
52,1000,0.05,950,2,17,1.0510,52,359.00,0.055036
53,1000,0.05,950,2,17,1.0011,53,403.00,0.306416
54,1000,0.05,950,2,17,1.0184,54,363.00,0.019930
55,1000,0.05,950,2,17,0.9764,55,376.00,0.120904
56,1000,0.05,950,2,17,0.9383,56,380.00,0.204985
57,1000,0.05,950,2,17,0.9843,57,366.00,0.069506
58,1000,0.05,950,2,17,0.9588,58,373.00,0.031087
59,1000,0.05,950,2,17,0.9779,59,389.00,0.091690
60,1000,0.05,950,2,17,0.9611,60,382.00,0.100049
61,1000,0.05,950,2,17,0.9747,61,357.00,0.069587
62,1000,0.05,950,2,17,0.9979,62,373.00,0.024874
63,1000,0.05,950,2,17,0.9922,63,365.00,0.107578
64,1000,0.05,950,2,17,1.0452,64,365.00,0.201045
65,1000,0.05,950,2,17,1.0094,65,359.00,0.097413
66,1000,0.05,950,2,17,1.0357,66,386.00,0.190938
67,1000,0.05,950,2,17,1.0265,67,371.00,0.032605
68,1000,0.05,950,2,17,1.0518,68,372.00,0.083299
69,1000,0.05,950,2,17,1.0180,69,353.00,0.233987
70,1000,0.05,950,2,17,0.9916,70,368.00,0.031753
71,1000,0.05,950,2,17,1.0141,71,433.00,0.171580
72,1000,0.05,950,2,17,1.0005,72,392.00,0.099171
73,1000,0.05,950,2,17,0.9705,73,368.00,0.174823
74,1000,0.05,950,2,17,1.0171,74,387.00,0.146883
75,1000,0.05,950,2,17,0.9949,75,390.00,0.075916
76,1000,0.05,950,2,17,0.9816,76,364.00,0.093336
77,1000,0.05,950,2,17,1.0381,77,368.00,0.059971
78,1000,0.05,950,2,17,0.9821,78,359.00,0.027964
79,1000,0.05,950,2,17,0.9894,79,382.00,0.193037
80,1000,0.05,950,2,17,0.9985,80,396.00,0.120273
81,1000,0.05,950,2,17,0.9826,81,367.00,0.140420
82,1000,0.05,950,2,17,1.0342,82,381.00,0.042417
83,1000,0.05,950,2,17,1.0139,83,372.00,0.062484
84,1000,0.05,950,2,17,1.0224,84,377.00,0.113775
85,1000,0.05,950,2,17,1.0527,85,355.00,0.076541
