index,n,epsilon,d,m,k_budget,k_theory,t,repeat,time_mu_s,model_error
0,1000,0.50,500,3,1500,35,0.9998,0,40729.00,0.660807
1,1000,0.50,500,3,1500,35,1.0043,1,41335.00,0.579035
2,1000,0.50,500,3,1500,35,1.0451,2,40548.00,1.040172
3,1000,0.50,500,3,1500,35,1.0008,3,41025.00,2.755293
4,1000,0.50,500,3,1500,35,1.0424,4,41185.00,1.198216
5,1000,0.50,500,3,1500,35,1.1033,5,17624.00,0.809444
6,1000,0.50,500,3,1500,35,1.0389,6,10576.00,1.687585
7,1000,0.50,500,3,1500,35,0.9654,7,40554.00,0.375755
8,1000,0.50,500,3,1500,35,0.9583,8,41709.00,0.601514
9,1000,0.50,500,3,1500,35,0.9913,9,39828.00,1.984280
10,1000,0.50,500,3,1500,35,1.0153,10,40742.00,0.097356
11,1000,0.50,500,3,1500,35,1.0222,11,9437.00,0.924228
12,1000,0.50,500,3,1500,35,0.9871,12,41605.00,0.452258
13,1000,0.50,500,3,1500,35,0.9786,13,30179.00,1.734900
14,1000,0.50,500,3,1500,35,0.9999,14,40278.00,0.158926
15,1000,0.50,500,3,1500,35,1.0146,15,41297.00,0.764147
16,1000,0.50,500,3,1500,35,0.9954,16,40816.00,0.573758
17,1000,0.50,500,3,1500,35,0.9581,17,40007.00,1.753475
18,1000,0.50,500,3,1500,35,0.9162,18,39928.00,0.980217
19,1000,0.50,500,3,1500,35,0.9895,19,39928.00,0.793433
20,1000,0.50,500,3,1500,35,0.9507,20,40267.00,0.210786
21,1000,0.50,500,3,1500,35,0.9950,21,39672.00,0.290887
22,1000,0.50,500,3,1500,35,0.9580,22,40345.00,1.713449
23,1000,0.50,500,3,1500,35,1.0667,23,41259.00,0.774299
24,1000,0.50,500,3,1500,35,1.0478,24,40320.00,1.008740
25,1000,0.50,500,3,1500,35,1.0530,25,11804.00,3.786940
26,1000,0.50,500,3,1500,35,0.9406,26,39341.00,1.232436
27,1000,0.50,500,3,1500,35,1.0622,27,40710.00,1.508843
28,1000,0.50,500,3,1500,35,1.0006,28,41612.00,0.446271
29,1000,0.50,500,3,1500,35,0.9362,29,41015.00,0.129939
30,1000,0.50,500,3,1500,35,1.0030,30,27679.00,1.102488
31,1000,0.50,500,3,1500,35,1.0537,31,15959.00,0.588830
32,1000,0.50,500,3,1500,35,1.0374,32,41757.00,0.151966
33,1000,0.50,500,3,1500,35,0.9604,33,41470.00,1.996573
34,1000,0.50,500,3,1500,35,1.0084,34,41980.00,0.599577
35,1000,0.50,500,3,1500,35,1.0066,35,41769.00,1.357525
36,1000,0.50,500,3,1500,35,0.9732,36,39585.00,1.566499
37,1000,0.50,500,3,1500,35,0.9775,37,41000.00,1.383546
38,1000,0.50,500,3,1500,35,1.0393,38,48454.00,0.754487
39,1000,0.50,500,3,1500,35,0.9802,39,46762.00,2.635566
40,1000,0.50,500,3,1500,35,0.9994,40,40240.00,2.253253
41,1000,0.50,500,3,1500,35,0.9810,41,40417.00,0.583480
42,1000,0.50,500,3,1500,35,1.0522,42,40318.00,0.063149
43,1000,0.50,500,3,1500,35,1.0281,43,39890.00,0.573393
44,1000,0.50,500,3,1500,35,0.9865,44,40093.00,1.075261
45,1000,0.50,500,3,1500,35,0.9673,45,39834.00,2.658489
46,1000,0.50,500,3,1500,35,0.9337,46,39519.00,1.026492
47,1000,0.50,500,3,1500,35,0.9775,47,39906.00,0.262768
48,1000,0.50,500,3,1500,35,1.0181,48,40548.00,1.575634
49,1000,0.50,500,3,1500,35,1.0389,49,1510.00,0.692941
50,1000,0.50,500,3,1500,35,0.9975,50,26033.00,0.764773
51,1000,0.50,500,3,1500,35,1.0097,51,40717.00,1.132953
52,1000,0.50,500,3,1500,35,1.0155,52,7871.00,0.563535
53,1000,0.50,500,3,1500,35,1.0151,53,41590.00,1.354267
54,1000,0.50,500,3,1500,35,1.0130,54,40252.00,0.350467
55,1000,0.50,500,3,1500,35,0.9969,55,40023.00,0.165894
56,1000,0.50,500,3,1500,35,1.0139,56,40529.00,0.581302
57,1000,0.50,500,3,1500,35,0.9825,57,40840.00,0.439630
58,1000,0.50,500,3,1500,35,1.0127,58,41502.00,0.148114
59,1000,0.50,500,3,1500,35,1.0240,59,41362.00,1.319456
60,1000,0.50,500,3,1500,35,1.0536,60,8076.00,1.071065
61,1000,0.50,500,3,1500,35,0.9811,61,42038.00,0.940753
62,1000,0.50,500,3,1500,35,0.9750,62,41264.00,1.923317
63,1000,0.50,500,3,1500,35,1.0264,63,40606.00,0.206529
64,1000,0.50,500,3,1500,35,1.0272,64,41891.00,0.690862
65,1000,0.50,500,3,1500,35,0.9961,65,41219.00,1.424824
66,1000,0.50,500,3,1500,35,0.9835,66,40485.00,0.395107
67,1000,0.50,500,3,1500,35,0.9942,67,40811.00,2.343742
68,1000,0.50,500,3,1500,35,0.9904,68,40367.00,1.238324
69,1000,0.50,500,3,1500,35,0.9771,69,40457.00,2.385769
