index,n,epsilon,d,m,k_budget,k_theory,t,repeat,time_mu_s,model_error
70,1000,0.50,500,3,1500,35,1.0045,70,39968.00,0.608766
71,1000,0.50,500,3,1500,35,1.0153,71,40436.00,0.444594
72,1000,0.50,500,3,1500,35,0.9768,72,40982.00,0.699151
73,1000,0.50,500,3,1500,35,1.0382,73,1256.00,3.587164
74,1000,0.50,500,3,1500,35,1.0117,74,40132.00,1.072983
75,1000,0.50,500,3,1500,35,0.9081,75,39692.00,0.789300
76,1000,0.50,500,3,1500,35,0.9943,76,41590.00,2.830577
77,1000,0.50,500,3,1500,35,1.0196,77,12754.00,2.765218
78,1000,0.50,500,3,1500,35,1.0478,78,17645.00,2.239537
79,1000,0.50,500,3,1500,35,0.9707,79,40564.00,2.217569
80,1000,0.50,500,3,1500,35,1.0138,80,39931.00,1.435416
81,1000,0.50,500,3,1500,35,0.9891,81,13839.00,1.720895
82,1000,0.50,500,3,1500,35,1.0331,82,41893.00,0.798818
83,1000,0.50,500,3,1500,35,1.0070,83,41367.00,0.402672
84,1000,0.50,500,3,1500,35,1.0741,84,40650.00,0.183039
85,1000,0.50,500,3,1500,35,0.9929,85,41362.00,1.237840
86,1000,0.50,500,3,1500,35,1.0369,86,41193.00,1.041840
87,1000,0.50,500,3,1500,35,0.9894,87,40456.00,1.391540
88,1000,0.50,500,3,1500,35,1.0002,88,3434.00,0.652719
89,1000,0.50,500,3,1500,35,1.0047,89,40988.00,0.836989
90,1000,0.50,500,3,1500,35,0.9220,90,40427.00,1.838369
91,1000,0.50,500,3,1500,35,0.9802,91,41032.00,0.377746
92,1000,0.50,500,3,1500,35,1.0641,92,8189.00,0.317844
93,1000,0.50,500,3,1500,35,1.0357,93,41362.00,1.635277
94,1000,0.50,500,3,1500,35,0.9867,94,1768.00,0.502966
95,1000,0.50,500,3,1500,35,0.9285,95,41620.00,0.867407
96,1000,0.50,500,3,1500,35,1.0058,96,16075.00,0.560883
97,1000,0.50,500,3,1500,35,1.0390,97,41168.00,0.458063
98,1000,0.50,500,3,1500,35,0.9628,98,41494.00,0.775782
99,1000,0.50,500,3,1500,35,0.9605,99,40127.00,0.477267
100,1000,0.50,500,4,1500,72,0.9849,0,49133.00,5.986585
101,1000,0.50,500,4,1500,72,0.9611,1,50010.00,7.906819
102,1000,0.50,500,4,1500,72,1.0179,2,49414.00,3.929815
103,1000,0.50,500,4,1500,72,1.0116,3,49540.00,4.500941
104,1000,0.50,500,4,1500,72,0.9643,4,48865.00,0.849154
105,1000,0.50,500,4,1500,72,0.9565,5,48803.00,4.580134
106,1000,0.50,500,4,1500,72,1.0298,6,49611.00,4.284165
107,1000,0.50,500,4,1500,72,0.9526,7,49134.00,3.037063
108,1000,0.50,500,4,1500,72,0.9800,8,49809.00,1.119150
109,1000,0.50,500,4,1500,72,0.9978,9,49212.00,5.166699
110,1000,0.50,500,4,1500,72,0.9760,10,49508.00,5.458635
111,1000,0.50,500,4,1500,72,0.9956,11,49073.00,5.083307
112,1000,0.50,500,4,1500,72,0.9692,12,49839.00,6.889861
113,1000,0.50,500,4,1500,72,0.9527,13,49268.00,4.242696
114,1000,0.50,500,4,1500,72,0.9914,14,48833.00,8.518133
115,1000,0.50,500,4,1500,72,1.0257,15,49515.00,4.983210
116,1000,0.50,500,4,1500,72,1.0627,16,49291.00,1.134204
117,1000,0.50,500,4,1500,72,0.9893,17,49644.00,3.350541
118,1000,0.50,500,4,1500,72,1.0028,18,48834.00,7.979057
119,1000,0.50,500,4,1500,72,0.9256,19,49567.00,5.441894
120,1000,0.50,500,4,1500,72,1.0340,20,49200.00,1.845175
121,1000,0.50,500,4,1500,72,1.0445,21,49405.00,14.141808
122,1000,0.50,500,4,1500,72,0.9209,22,49011.00,4.549385
123,1000,0.50,500,4,1500,72,1.0162,23,49918.00,8.027970
124,1000,0.50,500,4,1500,72,0.9679,24,49228.00,2.698815
125,1000,0.50,500,4,1500,72,0.9714,25,48936.00,5.354250
126,1000,0.50,500,4,1500,72,0.9961,26,49673.00,2.965723
127,1000,0.50,500,4,1500,72,1.0575,27,49515.00,4.884178
128,1000,0.50,500,4,1500,72,0.9455,28,49830.00,4.595524
129,1000,0.50,500,4,1500,72,1.0277,29,50015.00,6.198722
130,1000,0.50,500,4,1500,72,1.0247,30,48890.00,5.134101
131,1000,0.50,500,4,1500,72,0.9353,31,50404.00,0.316053
132,1000,0.50,500,4,1500,72,0.9917,32,50255.00,7.527889
133,1000,0.50,500,4,1500,72,0.9963,33,49215.00,3.929851
134,1000,0.50,500,4,1500,72,0.9628,34,49582.00,0.476694
135,1000,0.50,500,4,1500,72,1.0392,35,50469.00,0.907163
136,1000,0.50,500,4,1500,72,1.0106,36,49267.00,5.198163
137,1000,0.50,500,4,1500,72,0.9622,37,50003.00,6.955712
138,1000,0.50,500,4,1500,72,0.9838,38,49773.00,6.814390
139,1000,0.50,500,4,1500,72,1.0057,39,50133.00,6.177771
140,1000,0.50,500,4,1500,72,1.0275,40,50805.00,6.207108
141,1000,0.50,500,4,1500,72,0.9732,41,49867.00,8.463141
142,1000,0.50,500,4,1500,72,1.0011,42,49148.00,4.883283
143,1000,0.50,500,4,1500,72,1.0141,43,49352.00,3.849193
144,1000,0.50,500,4,1500,72,0.9715,44,49740.00,2.015262
145,1000,0.50,500,4,1500,72,1.0303,45,49321.00,2.277466
146,1000,0.50,500,4,1500,72,0.9698,46,50671.00,2.556804
147,1000,0.50,500,4,1500,72,0.9932,47,50711.00,13.492620
148,1000,0.50,500,4,1500,72,0.9615,48,51040.00,5.100431
149,1000,0.50,500,4,1500,72,1.0687,49,50533.00,1.267138
150,1000,0.50,500,4,1500,72,1.0136,50,49170.00,3.177106
151,1000,0.50,500,4,1500,72,1.0199,51,49396.00,17.200916
152,1000,0.50,500,4,1500,72,1.0342,52,49437.00,0.946657
153,1000,0.50,500,4,1500,72,1.0172,53,49464.00,1.090794
154,1000,0.50,500,4,1500,72,0.9500,54,50475.00,6.980697
155,1000,0.50,500,4,1500,72,0.9699,55,50916.00,0.318379
156,1000,0.50,500,4,1500,72,0.9735,56,49639.00,5.226151
157,1000,0.50,500,4,1500,72,0.9848,57,49705.00,3.171972
158,1000,0.50,500,4,1500,72,0.9847,58,51110.00,1.801335
159,1000,0.50,500,4,1500,72,0.9926,59,50841.00,3.463368
160,1000,0.50,500,4,1500,72,0.9483,60,50252.00,3.319161
161,1000,0.50,500,4,1500,72,1.0163,61,50256.00,1.427430
162,1000,0.50,500,4,1500,72,1.0192,62,48887.00,12.560624
163,1000,0.50,500,4,1500,72,1.0340,63,50476.00,0.388881
164,1000,0.50,500,4,1500,72,0.9464,64,50767.00,3.992721
165,1000,0.50,500,4,1500,72,0.9620,65,48886.00,1.178121
166,1000,0.50,500,4,1500,72,0.9534,66,49717.00,3.378020
167,1000,0.50,500,4,1500,72,0.9938,67,49056.00,4.830729
168,1000,0.50,500,4,1500,72,1.0061,68,49858.00,1.166608
169,1000,0.50,500,4,1500,72,0.9995,69,48664.00,0.577954
170,1000,0.50,500,4,1500,72,1.0036,70,49304.00,3.580974
171,1000,0.50,500,4,1500,72,1.0085,71,49644.00,4.597842
172,1000,0.50,500,4,1500,72,1.0214,72,49090.00,1.035995
173,1000,0.50,500,4,1500,72,1.0273,73,48760.00,2.805768
174,1000,0.50,500,4,1500,72,0.9761,74,49192.00,4.852466
175,1000,0.50,500,4,1500,72,1.0699,75,49433.00,7.690153
176,1000,0.50,500,4,1500,72,0.9975,76,49546.00,5.441126
177,1000,0.50,500,4,1500,72,0.9891,77,49464.00,6.529778
178,1000,0.50,500,4,1500,72,1.0232,78,49673.00,13.131016
179,1000,0.50,500,4,1500,72,1.0090,79,49435.00,2.548220
180,1000,0.50,500,4,1500,72,1.0019,80,49962.00,5.693073
181,1000,0.50,500,4,1500,72,1.0469,81,50208.00,3.927119
182,1000,0.50,500,4,1500,72,0.9853,82,49197.00,4.950806
183,1000,0.50,500,4,1500,72,1.0178,83,49460.00,3.204517
184,1000,0.50,500,4,1500,72,0.9878,84,48544.00,7.266640
185,1000,0.50,500,4,1500,72,0.9915,85,49374.00,5.043756
186,1000,0.50,500,4,1500,72,0.9611,86,48888.00,1.791725
187,1000,0.50,500,4,1500,72,1.0397,87,49510.00,2.429441
188,1000,0.50,500,4,1500,72,1.0041,88,49365.00,9.123104
189,1000,0.50,500,4,1500,72,0.9773,89,48705.00,4.191690
190,1000,0.50,500,4,1500,72,1.0423,90,49436.00,4.914596
191,1000,0.50,500,4,1500,72,1.0046,91,49372.00,2.588030
192,1000,0.50,500,4,1500,72,1.0399,92,49397.00,7.290593
193,1000,0.50,500,4,1500,72,0.9741,93,50210.00,8.594187
194,1000,0.50,500,4,1500,72,0.9638,94,51307.00,5.211428
195,1000,0.50,500,4,1500,72,0.9430,95,49723.00,4.700754
196,1000,0.50,500,4,1500,72,1.0485,96,49722.00,2.405100
197,1000,0.50,500,4,1500,72,1.0174,97,50421.00,5.869542
198,1000,0.50,500,4,1500,72,1.0281,98,49532.00,1.509665
199,1000,0.50,500,4,1500,72,0.9843,99,49434.00,11.811850
200,1000,0.50,500,5,1500,146,1.0040,0,62307.00,53.961697
201,1000,0.50,500,5,1500,146,0.9562,1,61326.00,2.179211
202,1000,0.50,500,5,1500,146,1.0230,2,61345.00,15.241623
203,1000,0.50,500,5,1500,146,1.0182,3,61250.00,44.107815
204,1000,0.50,500,5,1500,146,1.0439,4,62080.00,44.851696
205,1000,0.50,500,5,1500,146,1.0724,5,60913.00,32.115765
206,1000,0.50,500,5,1500,146,0.9743,6,61593.00,9.989225
207,1000,0.50,500,5,1500,146,0.9473,7,61662.00,88.595985
208,1000,0.50,500,5,1500,146,0.9998,8,61968.00,8.888258
209,1000,0.50,500,5,1500,146,0.9945,9,61787.00,99.029137
210,1000,0.50,500,5,1500,146,0.9756,10,61609.00,79.141113
211,1000,0.50,500,5,1500,146,0.9580,11,60988.00,109.605980
212,1000,0.50,500,5,1500,146,1.0359,12,61669.00,164.580109
213,1000,0.50,500,5,1500,146,1.0070,13,61035.00,22.154387
214,1000,0.50,500,5,1500,146,0.9543,14,62365.00,58.674461
215,1000,0.50,500,5,1500,146,0.9715,15,60896.00,23.272490
216,1000,0.50,500,5,1500,146,1.0274,16,61376.00,10.632129
217,1000,0.50,500,5,1500,146,0.9780,17,61209.00,115.444084
218,1000,0.50,500,5,1500,146,0.9186,18,60627.00,29.153490
219,1000,0.50,500,5,1500,146,0.9720,19,61350.00,23.498564
220,1000,0.50,500,5,1500,146,0.9902,20,61325.00,12.373620
221,1000,0.50,500,5,1500,146,0.9897,21,61432.00,24.819443
222,1000,0.50,500,5,1500,146,0.9916,22,61545.00,13.805196
223,1000,0.50,500,5,1500,146,0.9900,23,61215.00,50.074780
224,1000,0.50,500,5,1500,146,1.0281,24,61366.00,54.947235
225,1000,0.50,500,5,1500,146,0.9342,25,61801.00,30.545851
226,1000,0.50,500,5,1500,146,0.9858,26,61864.00,71.494781
227,1000,0.50,500,5,1500,146,1.0485,27,63505.00,14.436930
228,1000,0.50,500,5,1500,146,0.9920,28,63068.00,15.472214
229,1000,0.50,500,5,1500,146,0.9273,29,62424.00,7.056405
230,1000,0.50,500,5,1500,146,0.9823,30,62994.00,30.895021
231,1000,0.50,500,5,1500,146,1.0437,31,62222.00,18.608536
232,1000,0.50,500,5,1500,146,1.0115,32,60989.00,32.393204
233,1000,0.50,500,5,1500,146,1.0161,33,61690.00,25.328665
234,1000,0.50,500,5,1500,146,0.9775,34,62710.00,18.596476
235,1000,0.50,500,5,1500,146,1.0185,35,61639.00,123.398697
236,1000,0.50,500,5,1500,146,0.9864,36,62058.00,12.224189
237,1000,0.50,500,5,1500,146,0.9956,37,63015.00,10.543160
238,1000,0.50,500,5,1500,146,1.0513,38,63496.00,61.108150
239,1000,0.50,500,5,1500,146,1.0052,39,63509.00,7.410948
240,1000,0.50,500,5,1500,146,0.9826,40,61277.00,24.708437
241,1000,0.50,500,5,1500,146,0.9906,41,61545.00,87.752785
242,1000,0.50,500,5,1500,146,1.0092,42,61166.00,11.435642
243,1000,0.50,500,5,1500,146,0.9980,43,61031.00,4.059695
244,1000,0.50,500,5,1500,146,0.9939,44,61562.00,7.355150
245,1000,0.50,500,5,1500,146,1.0051,45,61157.00,10.992479
246,1000,0.50,500,5,1500,146,0.9976,46,61790.00,76.701408
247,1000,0.50,500,5,1500,146,1.0106,47,62550.00,24.400991
248,1000,0.50,500,5,1500,146,1.0055,48,62794.00,23.934471
249,1000,0.50,500,5,1500,146,0.9658,49,63704.00,22.357206
250,1000,0.50,500,5,1500,146,1.0113,50,62231.00,21.097656
251,1000,0.50,500,5,1500,146,0.9214,51,60914.00,34.384113
252,1000,0.50,500,5,1500,146,1.0414,52,61474.00,128.073395
253,1000,0.50,500,5,1500,146,0.9737,53,62053.00,37.256229
254,1000,0.50,500,5,1500,146,0.9937,54,62471.00,5.204944
255,1000,0.50,500,5,1500,146,1.0267,55,63656.00,32.992680
256,1000,0.50,500,5,1500,146,1.0067,56,63702.00,30.967865
257,1000,0.50,500,5,1500,146,0.9921,57,63821.00,20.887619
258,1000,0.50,500,5,1500,146,1.0040,58,63483.00,61.749439
259,1000,0.50,500,5,1500,146,1.0050,59,62796.00,92.878899
260,1000,0.50,500,5,1500,146,1.0205,60,61106.00,47.324291
261,1000,0.50,500,5,1500,146,1.0132,61,63793.00,4.130174
262,1000,0.50,500,5,1500,146,0.9875,62,61705.00,15.584001
263,1000,0.50,500,5,1500,146,1.0285,63,61571.00,43.680534
264,1000,0.50,500,5,1500,146,1.0211,64,61877.00,18.875828
265,1000,0.50,500,5,1500,146,1.0175,65,63496.00,54.011311
266,1000,0.50,500,5,1500,146,0.9882,66,63282.00,16.923489
267,1000,0.50,500,5,1500,146,0.9652,67,64365.00,32.624657
268,1000,0.50,500,5,1500,146,0.9918,68,62795.00,2.395262
269,1000,0.50,500,5,1500,146,0.9830,69,61224.00,36.502670
270,1000,0.50,500,5,1500,146,1.0674,70,63506.00,68.637672
271,1000,0.50,500,5,1500,146,1.0479,71,63162.00,0.763060
272,1000,0.50,500,5,1500,146,1.0041,72,63233.00,16.453304
273,1000,0.50,500,5,1500,146,0.9831,73,62956.00,68.193901
274,1000,0.50,500,5,1500,146,0.9551,74,64263.00,12.539198
275,1000,0.50,500,5,1500,146,0.9960,75,63815.00,46.313953
276,1000,0.50,500,5,1500,146,1.0083,76,63818.00,221.674454
277,1000,0.50,500,5,1500,146,0.9577,77,63250.00,142.021896
278,1000,0.50,500,5,1500,146,1.0062,78,61271.00,10.425327
279,1000,0.50,500,5,1500,146,1.0060,79,63099.00,36.176472
280,1000,0.50,500,5,1500,146,1.0370,80,63242.00,22.767324
281,1000,0.50,500,5,1500,146,0.9574,81,63248.00,12.177857
282,1000,0.50,500,5,1500,146,0.9774,82,63448.00,14.957837
283,1000,0.50,500,5,1500,146,0.9681,83,62009.00,66.378113
284,1000,0.50,500,5,1500,146,0.9770,84,61129.00,129.971664
285,1000,0.50,500,5,1500,146,0.9620,85,61371.00,4.652274
286,1000,0.50,500,5,1500,146,0.9834,86,61152.00,24.676167
287,1000,0.50,500,5,1500,146,1.0627,87,61721.00,61.381680
288,1000,0.50,500,5,1500,146,0.9895,88,61810.00,24.623137
289,1000,0.50,500,5,1500,146,0.9893,89,61719.00,16.682980
290,1000,0.50,500,5,1500,146,0.9967,90,62387.00,91.410995
291,1000,0.50,500,5,1500,146,0.9592,91,63546.00,139.119141
292,1000,0.50,500,5,1500,146,0.9908,92,63360.00,21.457104
293,1000,0.50,500,5,1500,146,0.9510,93,63077.00,73.899132
294,1000,0.50,500,5,1500,146,0.9508,94,63411.00,9.886219
295,1000,0.50,500,5,1500,146,0.9981,95,63219.00,25.630476
296,1000,0.50,500,5,1500,146,1.0381,96,62694.00,21.960497
297,1000,0.50,500,5,1500,146,0.9421,97,61537.00,13.847973
298,1000,0.50,500,5,1500,146,1.0379,98,63700.00,2.572763
299,1000,0.50,500,5,1500,146,1.0259,99,63331.00,62.006672
300,1000,0.50,500,6,1500,293,0.9861,0,74907.00,1505.953857
301,1000,0.50,500,6,1500,293,0.9889,1,74607.00,947.977966
302,1000,0.50,500,6,1500,293,0.9513,2,74214.00,50.502357
303,1000,0.50,500,6,1500,293,0.9819,3,74099.00,411.011749
304,1000,0.50,500,6,1500,293,0.9883,4,73990.00,126.012238
305,1000,0.50,500,6,1500,293,1.0108,5,73141.00,867.721313
306,1000,0.50,500,6,1500,293,0.9836,6,74492.00,142.597824
307,1000,0.50,500,6,1500,293,0.9974,7,75039.00,169.133026
308,1000,0.50,500,6,1500,293,0.9731,8,74910.00,387.973907
309,1000,0.50,500,6,1500,293,1.0126,9,74615.00,308.730621
310,1000,0.50,500,6,1500,293,0.9952,10,73285.00,1617.491577
311,1000,0.50,500,6,1500,293,0.9819,11,75276.00,222.960907
312,1000,0.50,500,6,1500,293,1.0050,12,74677.00,203.000534
313,1000,0.50,500,6,1500,293,0.9761,13,75219.00,131.637924
314,1000,0.50,500,6,1500,293,0.9927,14,74547.00,288.735748
315,1000,0.50,500,6,1500,293,0.9127,15,73501.00,56.642841
316,1000,0.50,500,6,1500,293,0.9880,16,74851.00,128.036560
317,1000,0.50,500,6,1500,293,0.9733,17,75480.00,550.742249
318,1000,0.50,500,6,1500,293,1.0542,18,76131.00,106.259789
319,1000,0.50,500,6,1500,293,1.0658,19,74275.00,182.362518
320,1000,0.50,500,6,1500,293,0.9970,20,75110.00,497.724823
321,1000,0.50,500,6,1500,293,0.9319,21,75770.00,65.647575
322,1000,0.50,500,6,1500,293,0.9486,22,75757.00,226.767227
323,1000,0.50,500,6,1500,293,0.9729,23,76026.00,122.876221
324,1000,0.50,500,6,1500,293,0.9965,24,74199.00,530.028931
325,1000,0.50,500,6,1500,293,0.9701,25,76111.00,59.191769
326,1000,0.50,500,6,1500,293,1.0014,26,73989.00,329.195648
327,1000,0.50,500,6,1500,293,1.0491,27,74524.00,329.423218
328,1000,0.50,500,6,1500,293,1.0112,28,75930.00,360.276123
329,1000,0.50,500,6,1500,293,1.0048,29,75253.00,1204.150146
330,1000,0.50,500,6,1500,293,1.0119,30,74156.00,292.619354
331,1000,0.50,500,6,1500,293,0.9446,31,74476.00,2626.256592
332,1000,0.50,500,6,1500,293,1.0123,32,75383.00,353.215637
333,1000,0.50,500,6,1500,293,1.0160,33,75546.00,688.163574
334,1000,0.50,500,6,1500,293,1.0238,34,74361.00,1765.817871
335,1000,0.50,500,6,1500,293,0.9980,35,74645.00,209.129181
336,1000,0.50,500,6,1500,293,0.9778,36,73505.00,269.792725
337,1000,0.50,500,6,1500,293,1.0245,37,74729.00,1256.432007
338,1000,0.50,500,6,1500,293,1.0249,38,74868.00,292.960907
339,1000,0.50,500,6,1500,293,0.9909,39,75218.00,1084.599121
340,1000,0.50,500,6,1500,293,1.0830,40,75185.00,1097.547974
341,1000,0.50,500,6,1500,293,0.9837,41,73551.00,1019.253784
342,1000,0.50,500,6,1500,293,1.0366,42,72795.00,299.835724
343,1000,0.50,500,6,1500,293,1.0152,43,73193.00,320.178894
344,1000,0.50,500,6,1500,293,0.9214,44,73156.00,219.169312
345,1000,0.50,500,6,1500,293,0.9608,45,73243.00,714.595032
346,1000,0.50,500,6,1500,293,1.0628,46,76191.00,67.342232
347,1000,0.50,500,6,1500,293,0.9631,47,72251.00,1658.036621
348,1000,0.50,500,6,1500,293,1.0077,48,73483.00,1404.808105
349,1000,0.50,500,6,1500,293,1.0052,49,74365.00,292.447998
350,1000,0.50,500,6,1500,293,0.9694,50,74175.00,660.586487
351,1000,0.50,500,6,1500,293,0.9679,51,74919.00,482.135956
352,1000,0.50,500,6,1500,293,1.0438,52,73630.00,1071.196655
353,1000,0.50,500,6,1500,293,0.9791,53,72086.00,109.627029
354,1000,0.50,500,6,1500,293,0.9731,54,72329.00,532.737488
355,1000,0.50,500,6,1500,293,1.0122,55,72306.00,812.773743
356,1000,0.50,500,6,1500,293,0.9563,56,72198.00,953.374939
357,1000,0.50,500,6,1500,293,0.9417,57,72911.00,139.695221
358,1000,0.50,500,6,1500,293,0.9828,58,74413.00,269.055359
359,1000,0.50,500,6,1500,293,1.0360,59,73383.00,434.898254
360,1000,0.50,500,6,1500,293,1.0634,60,72077.00,315.240021
361,1000,0.50,500,6,1500,293,1.0061,61,72006.00,863.646240
362,1000,0.50,500,6,1500,293,1.0453,62,73121.00,1702.318970
363,1000,0.50,500,6,1500,293,0.9965,63,73693.00,141.064102
364,1000,0.50,500,6,1500,293,0.9803,64,72771.00,37.966232
365,1000,0.50,500,6,1500,293,0.9864,65,73432.00,255.110245
366,1000,0.50,500,6,1500,293,1.0181,66,73829.00,38.414276
367,1000,0.50,500,6,1500,293,0.9520,67,72270.00,196.342819
368,1000,0.50,500,6,1500,293,1.0398,68,72855.00,580.136292
369,1000,0.50,500,6,1500,293,0.8861,69,71786.00,670.507446
370,1000,0.50,500,6,1500,293,1.0345,70,72404.00,3931.749512
371,1000,0.50,500,6,1500,293,0.9458,71,73366.00,358.070526
372,1000,0.50,500,6,1500,293,1.0110,72,78510.00,258.880035
373,1000,0.50,500,6,1500,293,1.0374,73,73559.00,1087.632690
374,1000,0.50,500,6,1500,293,0.9888,74,73187.00,1064.698608
375,1000,0.50,500,6,1500,293,0.9613,75,73832.00,367.879364
376,1000,0.50,500,6,1500,293,1.0403,76,73860.00,430.137726
377,1000,0.50,500,6,1500,293,0.9769,77,74405.00,53.105209
378,1000,0.50,500,6,1500,293,1.0050,78,72328.00,557.011841
379,1000,0.50,500,6,1500,293,1.0184,79,76423.00,161.662659
380,1000,0.50,500,6,1500,293,0.9520,80,72980.00,573.377014
381,1000,0.50,500,6,1500,293,0.9772,81,73870.00,309.490021
382,1000,0.50,500,6,1500,293,0.9971,82,73948.00,684.892517
383,1000,0.50,500,6,1500,293,0.9619,83,71857.00,255.084946
384,1000,0.50,500,6,1500,293,0.9769,84,72086.00,38.142330
385,1000,0.50,500,6,1500,293,0.9753,85,72043.00,89.665482
386,1000,0.50,500,6,1500,293,0.9565,86,74522.00,507.208374
387,1000,0.50,500,6,1500,293,1.0015,87,77443.00,1204.623047
388,1000,0.50,500,6,1500,293,1.0446,88,72889.00,817.401917
389,1000,0.50,500,6,1500,293,0.9748,89,72205.00,119.743065
390,1000,0.50,500,6,1500,293,1.0033,90,72420.00,1993.240479
391,1000,0.50,500,6,1500,293,1.0091,91,72092.00,808.498779
392,1000,0.50,500,6,1500,293,1.0070,92,72072.00,1439.769165
393,1000,0.50,500,6,1500,293,0.9714,93,72375.00,44.096405
394,1000,0.50,500,6,1500,293,0.9846,94,72514.00,673.354431
395,1000,0.50,500,6,1500,293,1.0533,95,72302.00,447.003815
396,1000,0.50,500,6,1500,293,1.0348,96,72139.00,134.493896
