index,n,epsilon,d,m,k,t,t_multiplier,repeat,time_mu_s,model_error
78,1000,0.50,500,2,17,0.2500,0.5,78,284.00,1.013687
79,1000,0.50,500,2,17,0.2500,0.5,79,284.00,0.158838
80,1000,0.50,500,2,17,0.2500,0.5,80,269.00,1.748379
81,1000,0.50,500,2,17,0.2500,0.5,81,266.00,1.057535
82,1000,0.50,500,2,17,0.2500,0.5,82,279.00,0.881053
83,1000,0.50,500,2,17,0.2500,0.5,83,275.00,1.928199
84,1000,0.50,500,2,17,0.2500,0.5,84,282.00,0.020032
85,1000,0.50,500,2,17,0.2500,0.5,85,273.00,0.278431
86,1000,0.50,500,2,17,0.2500,0.5,86,276.00,0.326714
87,1000,0.50,500,2,17,0.2500,0.5,87,271.00,0.800724
88,1000,0.50,500,2,17,0.2500,0.5,88,288.00,0.482634
89,1000,0.50,500,2,17,0.2500,0.5,89,280.00,0.565161
90,1000,0.50,500,2,17,0.2500,0.5,90,280.00,0.241510
91,1000,0.50,500,2,17,0.2500,0.5,91,287.00,0.255287
92,1000,0.50,500,2,17,0.2500,0.5,92,293.00,0.045157
93,1000,0.50,500,2,17,0.2500,0.5,93,277.00,2.051593
94,1000,0.50,500,2,17,0.2500,0.5,94,306.00,0.405952
95,1000,0.50,500,2,17,0.2500,0.5,95,270.00,1.162178
96,1000,0.50,500,2,17,0.2500,0.5,96,309.00,0.181306
97,1000,0.50,500,2,17,0.2500,0.5,97,267.00,0.504125
98,1000,0.50,500,2,17,0.2500,0.5,98,297.00,0.341986
99,1000,0.50,500,2,17,0.2500,0.5,99,278.00,0.486372
100,1000,0.50,500,2,17,0.5000,1.0,0,350.00,0.757816
101,1000,0.50,500,2,17,0.5000,1.0,1,326.00,0.639333
102,1000,0.50,500,2,17,0.5000,1.0,2,355.00,0.512095
103,1000,0.50,500,2,17,0.5000,1.0,3,334.00,0.119876
104,1000,0.50,500,2,17,0.5000,1.0,4,331.00,0.261089
105,1000,0.50,500,2,17,0.5000,1.0,5,337.00,0.447572
106,1000,0.50,500,2,17,0.5000,1.0,6,315.00,0.157153
107,1000,0.50,500,2,17,0.5000,1.0,7,315.00,0.104489
108,1000,0.50,500,2,17,0.5000,1.0,8,319.00,0.287970
109,1000,0.50,500,2,17,0.5000,1.0,9,328.00,0.095350
