index,n,epsilon,d,m,k,t,repeat,time_mu_s,model_error
0,1000,0.05,950,2,17,0.9904,0,380.00,0.050324
1,1000,0.05,950,2,17,1.0031,1,376.00,0.127356
2,1000,0.05,950,2,17,0.9774,2,382.00,0.220660
3,1000,0.05,950,2,17,1.0148,3,367.00,0.134875
4,1000,0.05,950,2,17,0.9971,4,393.00,0.092197
5,1000,0.05,950,2,17,1.0192,5,374.00,0.076343
6,1000,0.05,950,2,17,1.0089,6,382.00,0.217778
7,1000,0.05,950,2,17,0.9866,7,392.00,0.062307
8,1000,0.05,950,2,17,1.0274,8,386.00,0.240487
9,1000,0.05,950,2,17,1.0345,9,370.00,0.074250
10,1000,0.05,950,2,17,1.0091,10,376.00,0.131790
11,1000,0.05,950,2,17,0.9941,11,398.00,0.174243
12,1000,0.05,950,2,17,1.0065,12,356.00,0.219666
13,1000,0.05,950,2,17,0.9869,13,408.00,0.060184
14,1000,0.05,950,2,17,0.9851,14,418.00,0.080632
15,1000,0.05,950,2,17,1.0217,15,351.00,0.027860
16,1000,0.05,950,2,17,1.0044,16,362.00,0.205670
17,1000,0.05,950,2,17,1.0979,17,367.00,0.060003
18,1000,0.05,950,2,17,0.9901,18,355.00,0.190747
19,1000,0.05,950,2,17,0.9774,19,385.00,0.029614
20,1000,0.05,950,2,17,1.0267,20,394.00,0.044231
21,1000,0.05,950,2,17,1.0126,21,367.00,0.066039
22,1000,0.05,950,2,17,1.0411,22,381.00,0.073593
23,1000,0.05,950,2,17,1.0160,23,360.00,0.317973
24,1000,0.05,950,2,17,1.0244,24,353.00,0.159219
25,1000,0.05,950,2,17,0.9649,25,345.00,0.039519
26,1000,0.05,950,2,17,1.0324,26,390.00,0.043915
27,1000,0.05,950,2,17,0.9980,27,362.00,0.022859
28,1000,0.05,950,2,17,1.0177,28,332.00,0.064828
29,1000,0.05,950,2,17,1.0462,29,398.00,0.028483
30,1000,0.05,950,2,17,1.0220,30,397.00,0.068717
31,1000,0.05,950,2,17,1.0331,31,376.00,0.152359
32,1000,0.05,950,2,17,0.9904,32,349.00,0.036192
33,1000,0.05,950,2,17,1.0128,33,354.00,0.127778
34,1000,0.05,950,2,17,1.0277,34,338.00,0.125550
35,1000,0.05,950,2,17,1.0131,35,402.00,0.146061
36,1000,0.05,950,2,17,0.9757,36,393.00,0.317475
37,1000,0.05,950,2,17,1.0289,37,361.00,0.117030
38,1000,0.05,950,2,17,0.9992,38,346.00,0.123859
39,1000,0.05,950,2,17,0.9800,39,391.00,0.137096
40,1000,0.05,950,2,17,0.9589,40,372.00,0.158905
41,1000,0.05,950,2,17,0.9848,41,387.00,0.091334
42,1000,0.05,950,2,17,0.9756,42,388.00,0.220072
43,1000,0.05,950,2,17,1.0320,43,380.00,0.124480
44,1000,0.05,950,2,17,0.9384,44,376.00,0.066943
45,1000,0.05,950,2,17,1.0153,45,374.00,0.177733
46,1000,0.05,950,2,17,1.0290,46,376.00,0.116506
47,1000,0.05,950,2,17,1.0187,47,375.00,0.078077
48,1000,0.05,950,2,17,1.0102,48,372.00,0.109010
