index,n,epsilon,d,m,k,t,repeat,time_mu_s,model_error
0,4,0.3,2,2,70,1.0000,0,2.00,0.337224
1,4,0.3,2,2,70,1.0000,1,2.00,5.411984
2,4,0.3,2,2,70,1.0000,2,1.00,7.936878
3,4,0.3,2,2,70,1.0000,3,1.00,13.717579
4,4,0.3,2,2,70,1.0000,4,1.00,3.128811
5,4,0.3,2,2,70,1.0000,5,0.00,7.444389
6,4,0.3,2,2,70,1.0000,6,1.00,0.608471
7,4,0.3,2,2,70,1.0000,7,2.00,26.979010
8,4,0.3,2,2,70,1.0000,8,1.00,4.891981
9,4,0.3,2,2,70,1.0000,9,1.00,4.063197
10,4,0.3,2,2,70,1.0000,10,1.00,57.566986
11,4,0.3,2,2,70,1.0000,11,0.00,1.038996
12,4,0.3,2,2,70,1.0000,12,1.00,54.512894
13,4,0.3,2,2,70,1.0000,13,1.00,0.578129
14,4,0.3,2,2,70,1.0000,14,0.00,3.944306
15,4,0.3,2,2,70,1.0000,15,2.00,3.605147
16,4,0.3,2,2,70,1.0000,16,1.00,0.516398
17,4,0.3,2,2,70,1.0000,17,0.00,5.512783
18,4,0.3,2,2,70,1.0000,18,1.00,0.812562
19,4,0.3,2,2,70,1.0000,19,0.00,7.590693
20,4,0.3,2,2,70,1.0000,20,1.00,6.317712
21,4,0.3,2,2,70,1.0000,21,0.00,2.690615
22,4,0.3,2,2,70,1.0000,22,1.00,3.803185
23,4,0.3,2,2,70,1.0000,23,0.00,3.865032
24,4,0.3,2,2,70,1.0000,24,1.00,3.685076
25,4,0.3,2,2,70,1.0000,25,0.00,6.941412
26,4,0.3,2,2,70,1.0000,26,1.00,1.065102
27,4,0.3,2,2,70,1.0000,27,0.00,1.733256
28,4,0.3,2,2,70,1.0000,28,2.00,0.401239
29,4,0.3,2,2,70,1.0000,29,0.00,2.653955
30,4,0.3,2,2,70,1.0000,30,1.00,7.152194
31,4,0.3,2,2,70,1.0000,31,2.00,0.304478
32,4,0.3,2,2,70,1.0000,32,0.00,32.135765
33,4,0.3,2,2,70,1.0000,33,1.00,5.488998
34,4,0.3,2,2,70,1.0000,34,2.00,41.393997
35,4,0.3,2,2,70,1.0000,35,0.00,1.768337
36,4,0.3,2,2,70,1.0000,36,0.00,6.000347
37,4,0.3,2,2,70,1.0000,37,2.00,5.140530
38,4,0.3,2,2,70,1.0000,38,0.00,11.362029
39,4,0.3,2,2,70,1.0000,39,1.00,38.349846
40,4,0.3,2,2,70,1.0000,40,1.00,1.620892
41,4,0.3,2,2,70,1.0000,41,0.00,4.941731
42,4,0.3,2,2,70,1.0000,42,1.00,3.883219
43,4,0.3,2,2,70,1.0000,43,0.00,5.021399
44,4,0.3,2,2,70,1.0000,44,1.00,1.757282
45,4,0.3,2,2,70,1.0000,45,0.00,1.425954
46,4,0.3,2,2,70,1.0000,46,1.00,3.498222
47,4,0.3,2,2,70,1.0000,47,0.00,1.290542
48,4,0.3,2,2,70,1.0000,48,1.00,3.615339
49,4,0.3,2,2,70,1.0000,49,0.00,1.048889
