index,n,epsilon,d,m,k,t,pr,bias_type,repeat,time_mu_s,model_error
0,1000,0.10,900,2,170,1.0117,0.00,constant,0,3240.00,0.097508
1,1000,0.10,900,2,170,0.9834,0.00,constant,1,3162.00,0.067110
2,1000,0.10,900,2,170,1.0055,0.00,constant,2,3219.00,0.024484
3,1000,0.10,900,2,170,0.9879,0.00,constant,3,3289.00,0.040451
4,1000,0.10,900,2,170,1.0336,0.00,constant,4,3231.00,0.099203
5,1000,0.10,900,2,170,1.0051,0.00,constant,5,3265.00,0.030568
6,1000,0.10,900,2,170,0.9993,0.00,constant,6,3278.00,0.195257
7,1000,0.10,900,2,170,0.9937,0.00,constant,7,3264.00,0.129192
8,1000,0.10,900,2,170,1.0174,0.00,constant,8,3314.00,0.056977
9,1000,0.10,900,2,170,1.0340,0.00,constant,9,3298.00,0.038565
10,1000,0.10,900,2,170,1.0006,0.00,constant,10,3265.00,0.135002
11,1000,0.10,900,2,170,0.9856,0.00,constant,11,3249.00,0.067526
12,1000,0.10,900,2,170,1.0296,0.00,constant,12,3252.00,0.141100
13,1000,0.10,900,2,170,0.9921,0.00,constant,13,3290.00,0.046472
14,1000,0.10,900,2,170,1.0309,0.00,constant,14,3281.00,0.130219
15,1000,0.10,900,2,170,1.0124,0.00,constant,15,3177.00,0.109935
16,1000,0.10,900,2,170,0.9761,0.00,constant,16,3212.00,0.202294
17,1000,0.10,900,2,170,1.0780,0.00,constant,17,3289.00,0.054744
18,1000,0.10,900,2,170,0.9661,0.00,constant,18,3250.00,0.026536
19,1000,0.10,900,2,170,1.0081,0.00,constant,19,3160.00,0.099743
20,1000,0.10,900,2,170,1.0153,0.00,constant,20,3194.00,0.156340
21,1000,0.10,900,2,170,0.9934,0.00,constant,21,3262.00,0.054248
22,1000,0.10,900,2,170,1.0184,0.00,constant,22,3205.00,0.011025
23,1000,0.10,900,2,170,1.0149,0.00,constant,23,3206.00,0.058108
24,1000,0.10,900,2,170,1.0115,0.00,constant,24,3205.00,0.052756
25,1000,0.10,900,2,170,1.0229,0.00,constant,25,3227.00,0.168385
26,1000,0.10,900,2,170,0.9798,0.00,constant,26,3368.00,0.080476
27,1000,0.10,900,2,170,1.0016,0.00,constant,27,3190.00,0.060569
28,1000,0.10,900,2,170,0.9697,0.00,constant,28,3203.00,0.033691
29,1000,0.10,900,2,170,0.9908,0.00,constant,29,3278.00,0.032825
30,1000,0.10,900,2,170,0.9807,0.00,constant,30,3241.00,0.059487
31,1000,0.10,900,2,170,1.0492,0.00,constant,31,3297.00,0.053780
32,1000,0.10,900,2,170,1.0297,0.00,constant,32,3226.00,0.101438
33,1000,0.10,900,2,170,1.0746,0.00,constant,33,3158.00,0.015881
34,1000,0.10,900,2,170,1.0020,0.00,constant,34,3233.00,0.057394
35,1000,0.10,900,2,170,1.0228,0.00,constant,35,3134.00,0.074290
36,1000,0.10,900,2,170,1.0019,0.00,constant,36,3355.00,0.043605
37,1000,0.10,900,2,170,1.0031,0.00,constant,37,3308.00,0.039861
38,1000,0.10,900,2,170,0.9946,0.00,constant,38,3308.00,0.070199
39,1000,0.10,900,2,170,0.9802,0.00,constant,39,3182.00,0.059675
40,1000,0.10,900,2,170,1.0074,0.00,constant,40,3277.00,0.068948
41,1000,0.10,900,2,170,1.0220,0.00,constant,41,3293.00,0.088029
42,1000,0.10,900,2,170,0.9978,0.00,constant,42,3177.00,0.110252
43,1000,0.10,900,2,170,1.0491,0.00,constant,43,3274.00,0.055969
44,1000,0.10,900,2,170,1.0045,0.00,constant,44,3170.00,0.043531
45,1000,0.10,900,2,170,0.9882,0.00,constant,45,3115.00,0.017251
46,1000,0.10,900,2,170,0.9965,0.00,constant,46,3165.00,0.092689
47,1000,0.10,900,2,170,0.9658,0.00,constant,47,3185.00,0.099185
48,1000,0.10,900,2,170,1.0060,0.00,constant,48,3213.00,0.032115
49,1000,0.10,900,2,170,0.9875,0.00,constant,49,3261.00,0.101175
50,1000,0.10,900,2,170,0.9884,0.00,constant,50,3225.00,0.040769
51,1000,0.10,900,2,170,0.9966,0.00,constant,51,3130.00,0.094424
52,1000,0.10,900,2,170,0.9966,0.00,constant,52,3283.00,0.026400
53,1000,0.10,900,2,170,1.0093,0.00,constant,53,3237.00,0.019266
54,1000,0.10,900,2,170,1.0156,0.00,constant,54,3177.00,0.025741
55,1000,0.10,900,2,170,0.9927,0.00,constant,55,3128.00,0.153179
56,1000,0.10,900,2,170,1.0142,0.00,constant,56,3205.00,0.021945
57,1000,0.10,900,2,170,0.9958,0.00,constant,57,3249.00,0.032724
58,1000,0.10,900,2,170,1.0084,0.00,constant,58,3300.00,0.059193
59,1000,0.10,900,2,170,1.0200,0.00,constant,59,3222.00,0.037721
60,1000,0.10,900,2,170,1.0159,0.00,constant,60,3335.00,0.080741
61,1000,0.10,900,2,170,1.0119,0.00,constant,61,3237.00,0.142442
62,1000,0.10,900,2,170,0.9809,0.00,constant,62,3212.00,0.031412
63,1000,0.10,900,2,170,0.9657,0.00,constant,63,3190.00,0.219303
64,1000,0.10,900,2,170,1.0073,0.00,constant,64,3221.00,0.043046
65,1000,0.10,900,2,170,1.0184,0.00,constant,65,3287.00,0.053642
66,1000,0.10,900,2,170,0.9688,0.00,constant,66,3185.00,0.049843
67,1000,0.10,900,2,170,0.9881,0.00,constant,67,3245.00,0.302392
68,1000,0.10,900,2,170,1.0699,0.00,constant,68,3254.00,0.053000
69,1000,0.10,900,2,170,1.0227,0.00,constant,69,3167.00,0.138947
70,1000,0.10,900,2,170,0.9885,0.00,constant,70,3248.00,0.081752
71,1000,0.10,900,2,170,0.9991,0.00,constant,71,3244.00,0.046834
72,1000,0.10,900,2,170,1.0012,0.00,constant,72,3121.00,0.063133
73,1000,0.10,900,2,170,1.0159,0.00,constant,73,3271.00,0.066343
74,1000,0.10,900,2,170,1.0122,0.00,constant,74,3252.00,0.036673
75,1000,0.10,900,2,170,0.9980,0.00,constant,75,3281.00,0.035228
76,1000,0.10,900,2,170,1.0471,0.00,constant,76,3204.00,0.003220
77,1000,0.10,900,2,170,0.9994,0.00,constant,77,3273.00,0.102609
78,1000,0.10,900,2,170,0.9890,0.00,constant,78,3277.00,0.007457
79,1000,0.10,900,2,170,0.9851,0.00,constant,79,3223.00,0.125828
80,1000,0.10,900,2,170,0.9772,0.00,constant,80,3205.00,0.147754
81,1000,0.10,900,2,170,1.0163,0.00,constant,81,3238.00,0.092774
82,1000,0.10,900,2,170,1.0077,0.00,constant,82,3237.00,0.037282
83,1000,0.10,900,2,170,1.0344,0.00,constant,83,3228.00,0.022358
84,1000,0.10,900,2,170,1.0107,0.00,constant,84,3294.00,0.031625
85,1000,0.10,900,2,170,1.0330,0.00,constant,85,3311.00,0.032333
86,1000,0.10,900,2,170,1.0141,0.00,constant,86,3260.00,0.079759
87,1000,0.10,900,2,170,0.9964,0.00,constant,87,3231.00,0.181756
88,1000,0.10,900,2,170,0.9809,0.00,constant,88,3190.00,0.036587
89,1000,0.10,900,2,170,1.0228,0.00,constant,89,3203.00,0.067193
90,1000,0.10,900,2,170,0.9814,0.00,constant,90,3227.00,0.121751
91,1000,0.10,900,2,170,0.9904,0.00,constant,91,3268.00,0.096797
92,1000,0.10,900,2,170,1.0170,0.00,constant,92,3295.00,0.069010
93,1000,0.10,900,2,170,1.0300,0.00,constant,93,3239.00,0.193546
94,1000,0.10,900,2,170,0.9766,0.00,constant,94,3216.00,0.061088
95,1000,0.10,900,2,170,0.9704,0.00,constant,95,3260.00,0.092558
96,1000,0.10,900,2,170,1.0387,0.00,constant,96,3192.00,0.050972
97,1000,0.10,900,2,170,1.0005,0.00,constant,97,3203.00,0.043158
98,1000,0.10,900,2,170,0.9981,0.00,constant,98,3225.00,0.064626
99,1000,0.10,900,2,170,0.9957,0.00,constant,99,3246.00,0.075329
100,1000,0.10,900,2,170,1.3086,0.05,constant,0,3113.00,0.058620
101,1000,0.10,900,2,170,1.3746,0.05,constant,1,3118.00,0.090252
102,1000,0.10,900,2,170,1.4209,0.05,constant,2,3087.00,0.074365
103,1000,0.10,900,2,170,1.5293,0.05,constant,3,3186.00,0.101326
104,1000,0.10,900,2,170,1.3494,0.05,constant,4,3075.00,0.058763
105,1000,0.10,900,2,170,1.4016,0.05,constant,5,3095.00,0.047781
106,1000,0.10,900,2,170,1.5146,0.05,constant,6,3030.00,0.133472
107,1000,0.10,900,2,170,1.3601,0.05,constant,7,3097.00,0.124315
108,1000,0.10,900,2,170,1.4619,0.05,constant,8,3040.00,0.110393
109,1000,0.10,900,2,170,1.4434,0.05,constant,9,3161.00,0.093606
110,1000,0.10,900,2,170,1.4643,0.05,constant,10,3011.00,0.039580
111,1000,0.10,900,2,170,1.4459,0.05,constant,11,3088.00,0.070959
112,1000,0.10,900,2,170,1.4693,0.05,constant,12,3087.00,0.033257
113,1000,0.10,900,2,170,1.3566,0.05,constant,13,3130.00,0.047451
114,1000,0.10,900,2,170,1.4313,0.05,constant,14,3093.00,0.039951
115,1000,0.10,900,2,170,1.3784,0.05,constant,15,3106.00,0.080903
116,1000,0.10,900,2,170,1.4025,0.05,constant,16,3123.00,0.117416
117,1000,0.10,900,2,170,1.3387,0.05,constant,17,3132.00,0.092594
118,1000,0.10,900,2,170,1.3938,0.05,constant,18,3075.00,0.060304
119,1000,0.10,900,2,170,1.4072,0.05,constant,19,3087.00,0.195752
120,1000,0.10,900,2,170,1.3688,0.05,constant,20,3163.00,0.067435
121,1000,0.10,900,2,170,1.3939,0.05,constant,21,3129.00,0.043844
122,1000,0.10,900,2,170,1.3861,0.05,constant,22,3064.00,0.218722
123,1000,0.10,900,2,170,1.3443,0.05,constant,23,3053.00,0.042530
124,1000,0.10,900,2,170,1.3024,0.05,constant,24,3138.00,0.091460
125,1000,0.10,900,2,170,1.4783,0.05,constant,25,3054.00,0.238720
126,1000,0.10,900,2,170,1.3813,0.05,constant,26,3155.00,0.172290
127,1000,0.10,900,2,170,1.4485,0.05,constant,27,3116.00,0.188175
128,1000,0.10,900,2,170,1.4062,0.05,constant,28,3178.00,0.043375
129,1000,0.10,900,2,170,1.3037,0.05,constant,29,3105.00,0.054312
130,1000,0.10,900,2,170,1.4265,0.05,constant,30,3040.00,0.046730
131,1000,0.10,900,2,170,1.3479,0.05,constant,31,3101.00,0.148563
132,1000,0.10,900,2,170,1.4150,0.05,constant,32,3183.00,0.161633
133,1000,0.10,900,2,170,1.3133,0.05,constant,33,3082.00,0.131400
134,1000,0.10,900,2,170,1.3945,0.05,constant,34,3082.00,0.144778
135,1000,0.10,900,2,170,1.3634,0.05,constant,35,3121.00,0.048167
136,1000,0.10,900,2,170,1.3662,0.05,constant,36,3167.00,0.273390
137,1000,0.10,900,2,170,1.3588,0.05,constant,37,3030.00,0.047850
138,1000,0.10,900,2,170,1.4370,0.05,constant,38,3081.00,0.026013
139,1000,0.10,900,2,170,1.3871,0.05,constant,39,3061.00,0.077752
140,1000,0.10,900,2,170,1.3073,0.05,constant,40,3077.00,0.065865
141,1000,0.10,900,2,170,1.3402,0.05,constant,41,3139.00,0.054862
142,1000,0.10,900,2,170,1.3441,0.05,constant,42,3056.00,0.041214
