index,n,epsilon,d,m,k,t,pr,bias_type,repeat,time_mu_s,model_error
143,1000,0.10,900,2,170,1.3779,0.05,constant,43,3107.00,0.056089
144,1000,0.10,900,2,170,1.3936,0.05,constant,44,3215.00,0.058209
145,1000,0.10,900,2,170,1.3767,0.05,constant,45,3128.00,0.037307
146,1000,0.10,900,2,170,1.4712,0.05,constant,46,3142.00,0.199435
147,1000,0.10,900,2,170,1.4493,0.05,constant,47,3024.00,0.038174
148,1000,0.10,900,2,170,1.3962,0.05,constant,48,3140.00,0.029746
149,1000,0.10,900,2,170,1.4273,0.05,constant,49,3130.00,0.070437
150,1000,0.10,900,2,170,1.4541,0.05,constant,50,3099.00,0.044172
151,1000,0.10,900,2,170,1.4254,0.05,constant,51,3064.00,0.170166
152,1000,0.10,900,2,170,1.4047,0.05,constant,52,3096.00,0.070715
153,1000,0.10,900,2,170,1.4848,0.05,constant,53,3101.00,0.044148
154,1000,0.10,900,2,170,1.3280,0.05,constant,54,3123.00,0.165315
155,1000,0.10,900,2,170,1.4060,0.05,constant,55,3046.00,0.077137
156,1000,0.10,900,2,170,1.4758,0.05,constant,56,3112.00,0.033467
157,1000,0.10,900,2,170,1.4549,0.05,constant,57,3170.00,0.124229
158,1000,0.10,900,2,170,1.4778,0.05,constant,58,3036.00,0.054303
159,1000,0.10,900,2,170,1.3311,0.05,constant,59,3031.00,0.027856
160,1000,0.10,900,2,170,1.4149,0.05,constant,60,3086.00,0.066000
161,1000,0.10,900,2,170,1.4123,0.05,constant,61,3068.00,0.061630
162,1000,0.10,900,2,170,1.4453,0.05,constant,62,3136.00,0.139419
163,1000,0.10,900,2,170,1.3742,0.05,constant,63,3200.00,0.044275
164,1000,0.10,900,2,170,1.5135,0.05,constant,64,3050.00,0.110440
165,1000,0.10,900,2,170,1.3383,0.05,constant,65,3122.00,0.067607
166,1000,0.10,900,2,170,1.3391,0.05,constant,66,3107.00,0.109967
167,1000,0.10,900,2,170,1.3730,0.05,constant,67,3067.00,0.053216
168,1000,0.10,900,2,170,1.3236,0.05,constant,68,3084.00,0.204857
169,1000,0.10,900,2,170,1.4125,0.05,constant,69,3041.00,0.025599
170,1000,0.10,900,2,170,1.5324,0.05,constant,70,3107.00,0.094387
171,1000,0.10,900,2,170,1.3821,0.05,constant,71,3044.00,0.145421
172,1000,0.10,900,2,170,1.3570,0.05,constant,72,2976.00,0.070565
173,1000,0.10,900,2,170,1.3690,0.05,constant,73,3101.00,0.052951
174,1000,0.10,900,2,170,1.3336,0.05,constant,74,3094.00,0.176932
175,1000,0.10,900,2,170,1.3724,0.05,constant,75,3143.00,0.149069
176,1000,0.10,900,2,170,1.3355,0.05,constant,76,3035.00,0.061334
177,1000,0.10,900,2,170,1.4698,0.05,constant,77,3056.00,0.068613
178,1000,0.10,900,2,170,1.3645,0.05,constant,78,3117.00,0.245983
179,1000,0.10,900,2,170,1.4274,0.05,constant,79,3116.00,0.038781
180,1000,0.10,900,2,170,1.3925,0.05,constant,80,3051.00,0.074651
181,1000,0.10,900,2,170,1.4908,0.05,constant,81,3011.00,0.169936
182,1000,0.10,900,2,170,1.3886,0.05,constant,82,3020.00,0.052853
183,1000,0.10,900,2,170,1.4067,0.05,constant,83,3006.00,0.151186
184,1000,0.10,900,2,170,1.3576,0.05,constant,84,2990.00,0.028419
185,1000,0.10,900,2,170,1.2723,0.05,constant,85,3049.00,0.051202
186,1000,0.10,900,2,170,1.3965,0.05,constant,86,3055.00,0.052981
187,1000,0.10,900,2,170,1.4502,0.05,constant,87,3136.00,0.160802
188,1000,0.10,900,2,170,1.3592,0.05,constant,88,3146.00,0.089379
189,1000,0.10,900,2,170,1.3422,0.05,constant,89,3004.00,0.043426
190,1000,0.10,900,2,170,1.4876,0.05,constant,90,3135.00,0.067320
191,1000,0.10,900,2,170,1.3023,0.05,constant,91,3122.00,0.054729
192,1000,0.10,900,2,170,1.3745,0.05,constant,92,3006.00,0.051692
193,1000,0.10,900,2,170,1.3503,0.05,constant,93,3135.00,0.136652
194,1000,0.10,900,2,170,1.4038,0.05,constant,94,3072.00,0.161675
195,1000,0.10,900,2,170,1.3730,0.05,constant,95,3036.00,0.052078
196,1000,0.10,900,2,170,1.2636,0.05,constant,96,3099.00,0.023658
197,1000,0.10,900,2,170,1.3230,0.05,constant,97,3080.00,0.034111
198,1000,0.10,900,2,170,1.4467,0.05,constant,98,3045.00,0.093971
199,1000,0.10,900,2,170,1.3142,0.05,constant,99,3152.00,0.081518
200,1000,0.10,900,2,170,1.5694,0.10,constant,0,3187.00,0.119710
201,1000,0.10,900,2,170,1.6628,0.10,constant,1,3224.00,0.328139
202,1000,0.10,900,2,170,1.5923,0.10,constant,2,3204.00,0.124097
203,1000,0.10,900,2,170,1.6427,0.10,constant,3,3093.00,0.159234
204,1000,0.10,900,2,170,1.5832,0.10,constant,4,3147.00,0.253348
205,1000,0.10,900,2,170,1.6580,0.10,constant,5,3109.00,0.114668
206,1000,0.10,900,2,170,1.5551,0.10,constant,6,3165.00,0.154523
207,1000,0.10,900,2,170,1.7048,0.10,constant,7,3177.00,0.193531
208,1000,0.10,900,2,170,1.7069,0.10,constant,8,3175.00,0.222810
209,1000,0.10,900,2,170,1.6231,0.10,constant,9,3114.00,0.147596
210,1000,0.10,900,2,170,1.6872,0.10,constant,10,3177.00,0.352169
211,1000,0.10,900,2,170,1.7017,0.10,constant,11,3192.00,0.202154
212,1000,0.10,900,2,170,1.5173,0.10,constant,12,3100.00,0.251025
213,1000,0.10,900,2,170,1.6709,0.10,constant,13,3130.00,0.200953
214,1000,0.10,900,2,170,1.5835,0.10,constant,14,3093.00,0.155894
215,1000,0.10,900,2,170,1.6076,0.10,constant,15,3124.00,0.164538
216,1000,0.10,900,2,170,1.6529,0.10,constant,16,3260.00,0.166468
217,1000,0.10,900,2,170,1.6384,0.10,constant,17,3253.00,0.145492
218,1000,0.10,900,2,170,1.6285,0.10,constant,18,3174.00,0.115325
219,1000,0.10,900,2,170,1.6641,0.10,constant,19,3151.00,0.205295
220,1000,0.10,900,2,170,1.6262,0.10,constant,20,3160.00,0.269331
221,1000,0.10,900,2,170,1.5996,0.10,constant,21,3122.00,0.160884
222,1000,0.10,900,2,170,1.6198,0.10,constant,22,3166.00,0.305792
223,1000,0.10,900,2,170,1.6030,0.10,constant,23,3116.00,0.293508
224,1000,0.10,900,2,170,1.6998,0.10,constant,24,3203.00,0.244599
225,1000,0.10,900,2,170,1.6306,0.10,constant,25,3127.00,0.169735
226,1000,0.10,900,2,170,1.5315,0.10,constant,26,3172.00,0.119596
227,1000,0.10,900,2,170,1.5737,0.10,constant,27,3074.00,0.136155
228,1000,0.10,900,2,170,1.7123,0.10,constant,28,3206.00,0.240739
229,1000,0.10,900,2,170,1.5977,0.10,constant,29,3224.00,0.159537
230,1000,0.10,900,2,170,1.7128,0.10,constant,30,3071.00,0.196231
231,1000,0.10,900,2,170,1.6458,0.10,constant,31,3145.00,0.186395
232,1000,0.10,900,2,170,1.6189,0.10,constant,32,3190.00,0.349788
233,1000,0.10,900,2,170,1.7075,0.10,constant,33,3164.00,0.229674
234,1000,0.10,900,2,170,1.6363,0.10,constant,34,3199.00,0.357027
235,1000,0.10,900,2,170,1.6496,0.10,constant,35,3125.00,0.162546
236,1000,0.10,900,2,170,1.6915,0.10,constant,36,3158.00,0.315284
237,1000,0.10,900,2,170,1.4968,0.10,constant,37,3143.00,0.284063
238,1000,0.10,900,2,170,1.7035,0.10,constant,38,3099.00,0.189588
239,1000,0.10,900,2,170,1.6361,0.10,constant,39,3180.00,0.344388
240,1000,0.10,900,2,170,1.5780,0.10,constant,40,3089.00,0.181384
241,1000,0.10,900,2,170,1.5843,0.10,constant,41,3091.00,0.211539
242,1000,0.10,900,2,170,1.5943,0.10,constant,42,3161.00,0.166876
243,1000,0.10,900,2,170,1.5735,0.10,constant,43,3086.00,0.166323
244,1000,0.10,900,2,170,1.5931,0.10,constant,44,3195.00,0.165890
245,1000,0.10,900,2,170,1.6094,0.10,constant,45,3183.00,0.232760
246,1000,0.10,900,2,170,1.6788,0.10,constant,46,3151.00,0.132947
247,1000,0.10,900,2,170,1.5463,0.10,constant,47,3113.00,0.352932
248,1000,0.10,900,2,170,1.6282,0.10,constant,48,3190.00,0.188491
249,1000,0.10,900,2,170,1.6006,0.10,constant,49,3120.00,0.167706
250,1000,0.10,900,2,170,1.5336,0.10,constant,50,3146.00,0.104354
251,1000,0.10,900,2,170,1.7456,0.10,constant,51,3166.00,0.186335
252,1000,0.10,900,2,170,1.5521,0.10,constant,52,3119.00,0.204492
253,1000,0.10,900,2,170,1.5989,0.10,constant,53,3162.00,0.172043
254,1000,0.10,900,2,170,1.4904,0.10,constant,54,3176.00,0.089708
255,1000,0.10,900,2,170,1.6971,0.10,constant,55,3084.00,0.166493
256,1000,0.10,900,2,170,1.6351,0.10,constant,56,3139.00,0.266193
257,1000,0.10,900,2,170,1.5639,0.10,constant,57,3150.00,0.283505
258,1000,0.10,900,2,170,1.6963,0.10,constant,58,3158.00,0.135977
259,1000,0.10,900,2,170,1.6674,0.10,constant,59,3181.00,0.335904
260,1000,0.10,900,2,170,1.5655,0.10,constant,60,3137.00,0.157837
261,1000,0.10,900,2,170,1.6536,0.10,constant,61,3182.00,0.223685
262,1000,0.10,900,2,170,1.6161,0.10,constant,62,3189.00,0.122302
263,1000,0.10,900,2,170,1.5955,0.10,constant,63,3202.00,0.457646
264,1000,0.10,900,2,170,1.6587,0.10,constant,64,3220.00,0.210766
265,1000,0.10,900,2,170,1.6300,0.10,constant,65,3125.00,0.347965
266,1000,0.10,900,2,170,1.6429,0.10,constant,66,3117.00,0.228643
267,1000,0.10,900,2,170,1.6325,0.10,constant,67,3111.00,0.182901
268,1000,0.10,900,2,170,1.5870,0.10,constant,68,3248.00,0.174455
269,1000,0.10,900,2,170,1.5624,0.10,constant,69,3104.00,0.162411
270,1000,0.10,900,2,170,1.6868,0.10,constant,70,3213.00,0.177294
271,1000,0.10,900,2,170,1.6045,0.10,constant,71,3101.00,0.191700
272,1000,0.10,900,2,170,1.6511,0.10,constant,72,3162.00,0.180670
273,1000,0.10,900,2,170,1.6548,0.10,constant,73,3275.00,0.371695
274,1000,0.10,900,2,170,1.5894,0.10,constant,74,3155.00,0.301238
275,1000,0.10,900,2,170,1.6094,0.10,constant,75,3132.00,0.152336
276,1000,0.10,900,2,170,1.6265,0.10,constant,76,3215.00,0.156420
277,1000,0.10,900,2,170,1.6425,0.10,constant,77,3190.00,0.269067
278,1000,0.10,900,2,170,1.5683,0.10,constant,78,3154.00,0.174502
279,1000,0.10,900,2,170,1.6221,0.10,constant,79,3167.00,0.121219
280,1000,0.10,900,2,170,1.6027,0.10,constant,80,3272.00,0.249972
281,1000,0.10,900,2,170,1.6107,0.10,constant,81,3188.00,0.167241
282,1000,0.10,900,2,170,1.6457,0.10,constant,82,3122.00,0.155961
283,1000,0.10,900,2,170,1.6635,0.10,constant,83,3192.00,0.418611
284,1000,0.10,900,2,170,1.6122,0.10,constant,84,3202.00,0.184606
285,1000,0.10,900,2,170,1.6047,0.10,constant,85,3167.00,0.238845
286,1000,0.10,900,2,170,1.6438,0.10,constant,86,3209.00,0.144307
287,1000,0.10,900,2,170,1.6426,0.10,constant,87,3260.00,0.302272
288,1000,0.10,900,2,170,1.5791,0.10,constant,88,3159.00,0.144878
289,1000,0.10,900,2,170,1.6312,0.10,constant,89,3152.00,0.234786
290,1000,0.10,900,2,170,1.6188,0.10,constant,90,3121.00,0.133581
291,1000,0.10,900,2,170,1.6412,0.10,constant,91,3203.00,0.306552
292,1000,0.10,900,2,170,1.6968,0.10,constant,92,3202.00,0.396245
293,1000,0.10,900,2,170,1.6284,0.10,constant,93,3154.00,0.174614
294,1000,0.10,900,2,170,1.6376,0.10,constant,94,3191.00,0.210462
295,1000,0.10,900,2,170,1.6575,0.10,constant,95,3112.00,0.202496
296,1000,0.10,900,2,170,1.6969,0.10,constant,96,3162.00,0.184817
297,1000,0.10,900,2,170,1.6486,0.10,constant,97,3150.00,0.177079
298,1000,0.10,900,2,170,1.5707,0.10,constant,98,3167.00,0.318423
299,1000,0.10,900,2,170,1.7528,0.10,constant,99,3127.00,0.341114
300,1000,0.10,900,2,170,1.8056,0.15,constant,0,3270.00,0.333788
301,1000,0.10,900,2,170,1.8108,0.15,constant,1,3199.00,0.349699
302,1000,0.10,900,2,170,1.7859,0.15,constant,2,3244.00,0.413426
303,1000,0.10,900,2,170,1.8244,0.15,constant,3,3291.00,0.351023
304,1000,0.10,900,2,170,1.7399,0.15,constant,4,3201.00,0.645688
305,1000,0.10,900,2,170,1.8031,0.15,constant,5,3148.00,0.271000
306,1000,0.10,900,2,170,1.7892,0.15,constant,6,1027.00,0.296837
307,1000,0.10,900,2,170,1.7864,0.15,constant,7,3248.00,0.502003
308,1000,0.10,900,2,170,1.7550,0.15,constant,8,3238.00,0.290697
309,1000,0.10,900,2,170,1.8011,0.15,constant,9,3288.00,0.262748
310,1000,0.10,900,2,170,1.8192,0.15,constant,10,3255.00,0.375357
311,1000,0.10,900,2,170,1.7664,0.15,constant,11,3230.00,0.270586
312,1000,0.10,900,2,170,1.8426,0.15,constant,12,3246.00,0.403701
313,1000,0.10,900,2,170,1.7790,0.15,constant,13,3279.00,0.202817
314,1000,0.10,900,2,170,1.8409,0.15,constant,14,3219.00,0.372055
315,1000,0.10,900,2,170,1.7700,0.15,constant,15,3164.00,0.216863
316,1000,0.10,900,2,170,1.7500,0.15,constant,16,3173.00,0.546532
317,1000,0.10,900,2,170,1.8655,0.15,constant,17,3183.00,0.363118
318,1000,0.10,900,2,170,1.8267,0.15,constant,18,3176.00,0.368266
319,1000,0.10,900,2,170,1.8226,0.15,constant,19,3267.00,0.210417
320,1000,0.10,900,2,170,1.8422,0.15,constant,20,3269.00,0.302523
321,1000,0.10,900,2,170,1.8531,0.15,constant,21,2362.00,0.360863
322,1000,0.10,900,2,170,1.8281,0.15,constant,22,3290.00,0.426939
323,1000,0.10,900,2,170,1.7665,0.15,constant,23,3193.00,0.405501
324,1000,0.10,900,2,170,1.8453,0.15,constant,24,3321.00,0.389230
325,1000,0.10,900,2,170,1.8326,0.15,constant,25,3238.00,0.447020
326,1000,0.10,900,2,170,1.7482,0.15,constant,26,3180.00,0.441879
327,1000,0.10,900,2,170,1.7862,0.15,constant,27,3265.00,0.319418
328,1000,0.10,900,2,170,1.7810,0.15,constant,28,3260.00,0.330190
329,1000,0.10,900,2,170,1.8452,0.15,constant,29,3257.00,0.284459
330,1000,0.10,900,2,170,1.7878,0.15,constant,30,3362.00,0.501509
331,1000,0.10,900,2,170,1.8226,0.15,constant,31,3299.00,0.391234
332,1000,0.10,900,2,170,1.7264,0.15,constant,32,2667.00,0.438936
333,1000,0.10,900,2,170,1.8072,0.15,constant,33,2859.00,0.299706
334,1000,0.10,900,2,170,1.7884,0.15,constant,34,3271.00,0.350783
335,1000,0.10,900,2,170,1.7664,0.15,constant,35,3252.00,0.343731
336,1000,0.10,900,2,170,1.8095,0.15,constant,36,3365.00,0.260264
337,1000,0.10,900,2,170,1.8500,0.15,constant,37,3194.00,0.232446
338,1000,0.10,900,2,170,1.7462,0.15,constant,38,3214.00,0.144036
339,1000,0.10,900,2,170,1.7740,0.15,constant,39,3262.00,0.416997
340,1000,0.10,900,2,170,1.6937,0.15,constant,40,3251.00,0.239598
341,1000,0.10,900,2,170,1.7860,0.15,constant,41,3211.00,0.372949
342,1000,0.10,900,2,170,1.7882,0.15,constant,42,3289.00,0.388684
343,1000,0.10,900,2,170,1.7969,0.15,constant,43,3231.00,0.316672
344,1000,0.10,900,2,170,1.7375,0.15,constant,44,3221.00,0.240869
345,1000,0.10,900,2,170,1.8939,0.15,constant,45,3261.00,0.450630
346,1000,0.10,900,2,170,1.8338,0.15,constant,46,599.00,0.450819
347,1000,0.10,900,2,170,1.7711,0.15,constant,47,3185.00,0.349831
348,1000,0.10,900,2,170,1.8754,0.15,constant,48,640.00,0.413234
349,1000,0.10,900,2,170,1.9144,0.15,constant,49,1716.00,0.421184
350,1000,0.10,900,2,170,1.7052,0.15,constant,50,3136.00,0.199525
351,1000,0.10,900,2,170,1.8956,0.15,constant,51,3265.00,0.348563
352,1000,0.10,900,2,170,1.8192,0.15,constant,52,3199.00,0.322221
353,1000,0.10,900,2,170,1.7802,0.15,constant,53,3310.00,0.315767
354,1000,0.10,900,2,170,1.8531,0.15,constant,54,1362.00,0.276849
355,1000,0.10,900,2,170,1.7508,0.15,constant,55,800.00,0.342447
